# Likely scene.json / project.json keys (camelCase identifiers, 3-28 chars)
# total matches: 1457 (incl. duplicates) | unique: 1133
# column 1: encoding (A=ASCII, U=UTF-16LE)  column 2: file offset  column 3: string
# NOTE: restricted to file-offset range 0x424e00..0x4da000 (data/read-only sections)

A 0x00484610  japanese
A 0x00484620  koreana
A 0x00484650  norwegian
A 0x0048465c  polish
A 0x00484698  portuguese
A 0x004846a8  romanian
A 0x004846e0  russian
A 0x004846e8  schinese
A 0x00484728  spanish
A 0x00484730  swedish
A 0x00484768  tchinese
A 0x004847a0  turkish
A 0x004847a8  arabic
A 0x004847d8  ukrainian
A 0x004847e8  lithuanian
A 0x00484828  indonesian
A 0x00484838  vietnamese
A 0x0048486c  hebrew
A 0x00484874  slovak
A 0x004848a8  slovenian
A 0x004848b4  basque
A 0x004848e8  belarusian
A 0x00485194  future
A 0x00485778  uniform
A 0x00485a00  xdigit
A 0x00486244  float2
A 0x00486264  float4
A 0x00486274  float3
A 0x00486288  float4x3
A 0x004862a0  float3x3
A 0x004862ac  mat4x3
A 0x004862b8  sampler
A 0x004862c0  sampler2DBackBuffer
A 0x004862d8  float4x4
A 0x004862e8  sampler2D
A 0x004862f8  sampler3D
A 0x00486308  sampler2DComparison
A 0x00486320  samplerComparison
A 0x00486960  varying
A 0x00486990  attribute
A 0x00486ab8  accessArray
A 0x00487290  alignment
A 0x0048729c  volume
A 0x00487430  syncclock
A 0x00487490  synctopo
A 0x004874a0  frommemory
A 0x004874b0  alignmentx
A 0x004874c0  alignmenty
A 0x004874d0  alignmentfliph
A 0x004874e0  alignmentposition
A 0x00487508  alignmentz
A 0x004878e0  cameraparallax
A 0x00487900  slider
A 0x00487c18  combolutfilters
A 0x00487de8  presetproperties
A 0x00487e38  initalwproperties
A 0x00487e68  divider
A 0x00487ea0  supportsaudioprocessing
A 0x00487ec0  orthogonalprojection
A 0x00487ef0  displayhdr
A 0x00487f00  cameraparallaxmouseinfluence
A 0x00487f30  supportsvideo
A 0x00487f40  objects
A 0x00488830  function
A 0x00488840  callback
A 0x00488868  plugin
A 0x00488890  exports
A 0x00488898  parameters
A 0x004888a4  return
A 0x004888b0  subTitle
A 0x004888c0  albumArtist
A 0x004888d4  genres
A 0x004888e0  contentType
A 0x004888f0  albumTitle
A 0x004888fc  artist
A 0x00488908  tertiaryColor
A 0x00488918  textColor
A 0x00488928  primaryColor
A 0x00488938  secondaryColor
A 0x00488960  duration
A 0x00488970  highContrastColor
A 0x00488988  thumbnail
A 0x00488a98  dependency
A 0x00488aa8  preview
A 0x00488ab0  project
A 0x00488ab8  directory
A 0x00488ac8  scenetexture
A 0x00488b38  videotex
A 0x00489ae0  fullscreen
A 0x00489af0  focused
A 0x00489af8  executable
A 0x00489b08  loadprofile
A 0x00489b18  loadplaylist
A 0x00489b28  loadwallpaper
A 0x00489bc8  length
A 0x00489fd8  pauseall
A 0x0048a2bc  shader
A 0x0048a2c4  combos
A 0x0048a300  translucent
A 0x0048a310  alphatocoverage
A 0x0048a320  additive
A 0x0048a32c  nocull
A 0x0048a360  passes
A 0x0048a3b0  keepaspect
A 0x0048a3c0  usertextures
A 0x0048a3d0  constantshadervalues
A 0x0048a3e8  usertexturereference
A 0x0048a400  textures
A 0x0048a410  usershadervalues
A 0x0048a438  blending
A 0x0048a470  shadowcaster
A 0x0048a490  cullmode
A 0x0048a4a0  depthwrite
A 0x0048a4b0  depthtest
A 0x0048a4c0  alphawriting
A 0x0048a7f0  rad2deg
A 0x0048a7f8  conversion
A 0x0048a808  material
A 0x0048a818  startdelta
A 0x0048be7c  ifndef
A 0x0048be90  define
A 0x0048bed0  require
A 0x0048bed8  shadow
A 0x0048bee0  formatcombo
A 0x0048bef0  components
A 0x0048cc00  website
A 0x0048cc48  commandtype
A 0x0048cc58  isbound
A 0x0048cc60  command
A 0x0048cc68  getFrame
A 0x0048cc78  setFrame
A 0x0048cc88  isPlaying
A 0x0048cc98  frameCount
A 0x0048d128  lutparams
A 0x0048d13c  params
A 0x0048d168  bloomtint
A 0x0048d180  bloomstrength
A 0x0048d1a8  bloomthreshold
A 0x0048d1b8  scatter
A 0x0048d2c0  refreshdelay
A 0x0048d2d0  camera
A 0x0048d2e0  lightconfig
A 0x0048d2f0  spritesheetrefreshsync
A 0x0048d308  norecompile
A 0x0048d318  spotshadowcookie
A 0x0048d330  directional
A 0x0048d350  pointshadow
A 0x0048d360  directionalshadow
A 0x0048d378  spotcookie
A 0x0048d388  spotshadow
A 0x0048d394  center
A 0x0048d3a0  materials
A 0x0048d3b0  precache
A 0x0048d400  sprite
A 0x0048d408  particle
A 0x0048d468  reflected
A 0x0048d510  bloomhdrthreshold
A 0x0048d528  bloomhdrstrength
A 0x0048d548  transforms
A 0x0048d558  clearenabled
A 0x0048d568  bloomhdriterations
A 0x0048d580  bloomhdrscatter
A 0x0048d590  bloomhdrfeather
A 0x0048d5a0  fogdistance
A 0x0048d5b0  skylightcolor
A 0x0048d5c0  ambientcolor
A 0x0048d5d0  clearcolor
A 0x0048d5e0  fogdistancestart
A 0x0048d5f8  fogheightcolor
A 0x0048d608  fogdistancecolor
A 0x0048d620  fogheight
A 0x0048d630  fogheightstart
A 0x0048d640  fogdistanceenddensity
A 0x0048d658  fogdistancestartdensity
A 0x0048d670  fogdistanceend
A 0x0048d688  fogheightenddensity
A 0x0048d6a0  fogheightstartdensity
A 0x0048d6b8  fogheightend
A 0x0048d6c8  camerafade
A 0x0048d6e8  perspectiveoverridefov
A 0x0048d700  camerashakespeed
A 0x0048d718  camerashake
A 0x0048d728  customsortorder
A 0x0048d738  transparentsorting
A 0x0048d750  cameraparallaxdelay
A 0x0048d768  cameraparallaxamount
A 0x0048d780  camerashakeroughness
A 0x0048d798  camerashakeamplitude
A 0x0048d7b0  winddirection
A 0x0048d7c0  windenabled
A 0x0048d7d0  gravitystrength
A 0x0048d7e0  gravitydirection
A 0x0048d7f8  windstrength
A 0x0048db30  script
A 0x0048db38  scriptproperties
A 0x0048db50  animation
A 0x0048db5c  parent
A 0x0048db68  relative
A 0x0048dcb0  startpaused
A 0x0048dcc0  wraploop
A 0x0048dccc  mirror
A 0x0048dcd4  single
A 0x0048dcec  events
A 0x0048e188  audioprocessingmode
A 0x0048e1a0  audioprocessingexponent
A 0x0048e1c0  minperiodicduration
A 0x0048e1d8  maxperiodicduration
A 0x0048e1f0  minperiodicdelay
A 0x0048e208  maxperiodicdelay
A 0x0048e220  audioprocessingbounds
A 0x0048e258  audioprocessingfrequencyend
A 0x0048e278  instantaneous
A 0x0048e290  directions
A 0x0048e2a8  distancemin
A 0x0048e2b8  maxtoemitperperiod
A 0x0048e2dc  origin
A 0x0048e310  distancemax
A 0x0048e320  speedmin
A 0x0048e330  speedmax
A 0x0048e340  controlpoint
A 0x0048e35c  huemin
A 0x0048e364  huemax
A 0x0048e370  huesteps
A 0x0048e380  offsetmin
A 0x0048e398  offsetmax
A 0x0048e3a8  exponent
A 0x0048e3b4  colors
A 0x0048e3c0  huenoise
A 0x0048e3d0  saturationnoise
A 0x0048e3e0  valuenoise
A 0x0048e3f0  saturationmin
A 0x0048e400  saturationmax
A 0x0048e410  valuemin
A 0x0048e420  valuemax
A 0x0048e430  phasemax
A 0x0048e440  timescale
A 0x0048e454  offset
A 0x0048e488  phasemin
A 0x0048e4b0  distance
A 0x0048e4c0  octaves
A 0x0048e4d8  forward
A 0x0048e4f8  repeat
A 0x0048e500  limitbehavior
A 0x0048e510  controlpointstart
A 0x0048e538  bounds
A 0x0048e540  operation
A 0x0048e554  output
A 0x0048e560  inputcomponent
A 0x0048e570  controlpointend
A 0x0048e580  arcamount
A 0x0048e590  arcdirection
A 0x0048e5a0  sizereductionamount
A 0x0048e5b8  outputrangemax
A 0x0048e5c8  inputcontrolpoint0
A 0x0048e5e0  inputcontrolpoint1
A 0x0048e5f8  outputcontrolpoint0
A 0x0048e610  outputcomponent
A 0x0048e620  inputrangemin
A 0x0048e630  inputrangemax
A 0x0048e640  outputrangemin
A 0x0048e650  blendinstart
A 0x0048e660  blendinend
A 0x0048e670  blendoutstart
A 0x0048e680  blendoutend
A 0x0048e690  outputcontrolpoint1
A 0x0048e6a8  transformfunction
A 0x0048e6c0  transforminputscale
A 0x0048e6d8  transformoctaves
A 0x0048e6f0  fadeouttime
A 0x0048e700  startvalue
A 0x0048e710  endvalue
A 0x0048e720  starttime
A 0x0048e730  gravity
